	target	TO_8_S8	TO_4_S4	TO_3_S3	TO_7_S7	TO_2_S2	TO_6_S6	TO_5_S5	TO_1_S1	TO_9_S9
UGCG_+_114659059.23-P1P2|UGCG_+_114659529.23-P1P2++UGCG_+_114659059.23-P1P2|UGCG_+_114659529.23-P1P2	UGCG	2164	1714	610	1886	2974	1374	1340	988	1070
ACBD4_-_43213072.23-P1|ACBD4_-_43213050.23-P1++ACBD4_-_43213072.23-P1|ACBD4_-_43213050.23-P1	ACBD4	1904	1268	736	2008	2662	1334	1264	910	910
SLC22A10_-_63057461.23-P1P2|SLC22A10_+_63057471.23-P1P2++SLC22A10_-_63057461.23-P1P2|SLC22A10_+_63057471.23-P1P2	SLC22A10	1066	1008	384	844	1816	676	778	526	700
FAM133B_+_92219692.23-P1P2|FAM133B_-_92219443.23-P1P2++FAM133B_+_92219692.23-P1P2|FAM133B_-_92219443.23-P1P2	FAM133B	404	500	230	398	866	300	312	296	246
KHDC1_-_73972873.23-ENST00000257765.5|KHDC1_-_73972923.23-ENST00000257765.5++KHDC1_-_73972873.23-ENST00000257765.5|KHDC1_-_73972923.23-ENST00000257765.5	KHDC1	38	34	338	32	1472	16	30	434	44
GPR133_+_131438672.23-P1P2|GPR133_+_131438504.23-P1P2++GPR133_+_131438672.23-P1P2|GPR133_+_131438504.23-P1P2	GPR133	826	940	608	758	2924	566	574	902	462
LGALS4_-_39303534.23-P1P2|LGALS4_-_39303546.23-P1P2++LGALS4_-_39303534.23-P1P2|LGALS4_-_39303546.23-P1P2	LGALS4	1060	996	396	1020	1826	750	708	666	698
non-targeting_01647|non-targeting_03039++non-targeting_01647|non-targeting_03039	non-targeting	688	434	238	492	1438	456	576	496	434
RGS20_+_54792621.23-P2|RGS20_-_54792651.23-P2++RGS20_+_54792621.23-P2|RGS20_-_54792651.23-P2	RGS20	884	706	268	696	1322	558	900	356	490
NKX3-2_+_13546642.23-P1P2|NKX3-2_+_13546638.23-P1P2++NKX3-2_+_13546642.23-P1P2|NKX3-2_+_13546638.23-P1P2	NKX3-2	520	356	180	362	766	234	346	248	228
non-targeting_01976|non-targeting_00463++non-targeting_01976|non-targeting_00463	non-targeting	750	824	256	750	1288	488	678	472	522
AKAP2_+_112811051.23-P1P2|AKAP2_+_112811196.23-P1P2++AKAP2_+_112811051.23-P1P2|AKAP2_+_112811196.23-P1P2	AKAP2	2216	1936	754	2072	3200	1290	1562	1010	1290
POMT1_+_134378377.23-P1P2|POMT1_-_134378347.23-P1P2++POMT1_+_134378377.23-P1P2|POMT1_-_134378347.23-P1P2	POMT1	1684	1184	540	1530	2586	1158	1254	712	932
SYT14_-_210111642.23-P1P2|SYT14_-_210111612.23-P1P2++SYT14_-_210111642.23-P1P2|SYT14_-_210111612.23-P1P2	SYT14	1976	1806	802	1684	3404	1496	1412	1016	1326
RAP1GDS1_-_99182616.23-P1P2|RAP1GDS1_+_99182607.23-P1P2++RAP1GDS1_-_99182616.23-P1P2|RAP1GDS1_+_99182607.23-P1P2	RAP1GDS1	976	868	502	938	2214	758	522	758	574
P2RY13_+_151047324.23-P1P2|P2RY13_-_151047061.23-P1P2++P2RY13_+_151047324.23-P1P2|P2RY13_-_151047061.23-P1P2	P2RY13	772	762	288	594	1048	472	614	508	416
PSMD5_+_123605153.23-P1P2|PSMD5_-_123605206.23-P1P2++PSMD5_+_123605153.23-P1P2|PSMD5_-_123605206.23-P1P2	PSMD5	1898	1072	468	1246	2100	792	1058	658	810
TNKS1BP1_+_57092394.23-P1|TNKS1BP1_+_57092397.23-P1++TNKS1BP1_+_57092394.23-P1|TNKS1BP1_+_57092397.23-P1	TNKS1BP1	1792	1810	698	1572	2618	1332	1614	918	1066
COX14_-_50506022.23-P1P2|COX14_+_50506040.23-P1P2++COX14_-_50506022.23-P1P2|COX14_+_50506040.23-P1P2	COX14	584	388	292	404	1202	528	512	332	376
UBE2E2_-_23244670.23-P1P2|UBE2E2_+_23244982.23-P1P2++UBE2E2_-_23244670.23-P1P2|UBE2E2_+_23244982.23-P1P2	UBE2E2	1448	1338	502	1382	2386	922	846	836	926
NANOGNB_-_7917864.23-ENST00000382119.1|NANOGNB_+_7917816.23-ENST00000382119.1++NANOGNB_-_7917864.23-ENST00000382119.1|NANOGNB_+_7917816.23-ENST00000382119.1	NANOGNB	630	528	194	468	1126	304	510	380	502
OR4C3_+_48346521.23-ENST00000319856.4|OR4C3_-_48346633.23-ENST00000319856.4++OR4C3_+_48346521.23-ENST00000319856.4|OR4C3_-_48346633.23-ENST00000319856.4	OR4C3	656	526	208	604	1020	452	416	258	354
SGTA_+_2783218.23-P1P2|SGTA_+_2783252.23-P1P2++SGTA_+_2783218.23-P1P2|SGTA_+_2783252.23-P1P2	SGTA	528	514	330	622	1592	468	472	508	388
FAM53B_-_126432849.23-P1P2|FAM53B_-_126432409.23-P1P2++FAM53B_-_126432849.23-P1P2|FAM53B_-_126432409.23-P1P2	FAM53B	1402	1102	496	1216	1842	950	1194	580	732
PGLYRP3_+_153283136.23-ENST00000290722.1|PGLYRP3_-_153283176.23-ENST00000290722.1++PGLYRP3_+_153283136.23-ENST00000290722.1|PGLYRP3_-_153283176.23-ENST00000290722.1	PGLYRP3	1590	1032	592	1472	2406	1052	1042	714	846
RAD54L_+_46713775.23-P1P2|RAD54L_-_46713431.23-P1P2++RAD54L_+_46713775.23-P1P2|RAD54L_-_46713431.23-P1P2	RAD54L	1216	942	540	1168	2402	984	934	822	776
ALDH1L2_-_105478237.23-P1P2|ALDH1L2_+_105477985.23-P1P2++ALDH1L2_-_105478237.23-P1P2|ALDH1L2_+_105477985.23-P1P2	ALDH1L2	1378	1036	494	1082	1686	630	1158	682	742
EIF4B_+_53400192.23-P1P2|EIF4B_-_53400313.23-P1P2++EIF4B_+_53400192.23-P1P2|EIF4B_-_53400313.23-P1P2	EIF4B	450	322	324	306	1456	362	262	380	230
HSPA12A_+_118502029.23-P1P2|HSPA12A_+_118502069.23-P1P2++HSPA12A_+_118502029.23-P1P2|HSPA12A_+_118502069.23-P1P2	HSPA12A	1860	1784	654	1910	2854	1386	1142	778	1038
CACNB1_+_37353849.23-P1P2|CACNB1_+_37353871.23-P1P2++CACNB1_+_37353849.23-P1P2|CACNB1_+_37353871.23-P1P2	CACNB1	1340	1018	488	1248	1682	868	948	774	806
non-targeting_00176|non-targeting_00949++non-targeting_00176|non-targeting_00949	non-targeting	1620	1442	586	1762	2706	1352	1536	1058	932
MANSC4_-_27924300.23-P1P2|MANSC4_-_27924561.23-P1P2++MANSC4_-_27924300.23-P1P2|MANSC4_-_27924561.23-P1P2	MANSC4	502	306	136	296	516	232	384	202	252
SH3RF3_+_109745667.23-P1P2|SH3RF3_-_109746073.23-P1P2++SH3RF3_+_109745667.23-P1P2|SH3RF3_-_109746073.23-P1P2	SH3RF3	1444	1100	526	1540	2194	916	1122	712	834
LLGL2_-_73554331.23-P2|LLGL2_+_73553980.23-P2++LLGL2_-_73554331.23-P2|LLGL2_+_73553980.23-P2	LLGL2	392	528	442	320	1898	390	350	526	256
SQRDL_-_45927322.23-P1P2|SQRDL_-_45927289.23-P1P2++SQRDL_-_45927322.23-P1P2|SQRDL_-_45927289.23-P1P2	SQRDL	1284	1292	404	1394	2068	826	1008	646	716
NFE4_+_102614089.23-P1P2|NFE4_+_102614077.23-P1P2++NFE4_+_102614089.23-P1P2|NFE4_+_102614077.23-P1P2	NFE4	778	528	448	704	1930	476	496	644	404
GABRD_+_1950823.23-P1P2|GABRD_-_1950836.23-P1P2++GABRD_+_1950823.23-P1P2|GABRD_-_1950836.23-P1P2	GABRD	1490	1008	384	1322	1852	868	994	686	754
GTDC1_+_145089884.23-P1P2|GTDC1_+_145089989.23-P1P2++GTDC1_+_145089884.23-P1P2|GTDC1_+_145089989.23-P1P2	GTDC1	1036	592	378	1202	1676	832	658	544	676
HMG20A_-_77713273.23-P1P2|HMG20A_-_77713260.23-P1P2++HMG20A_-_77713273.23-P1P2|HMG20A_-_77713260.23-P1P2	HMG20A	1722	1298	470	1566	2274	1386	1370	870	1344
PTGER4_+_40681087.23-P2|PTGER4_+_40681123.23-P2++PTGER4_+_40681087.23-P2|PTGER4_+_40681123.23-P2	PTGER4	1112	758	488	1012	1792	576	594	648	564
SPTLC2_-_78082962.23-P1P2|SPTLC2_-_78082889.23-P1P2++SPTLC2_-_78082962.23-P1P2|SPTLC2_-_78082889.23-P1P2	SPTLC2	990	706	516	936	2110	430	660	630	558
SENP6_+_76311650.23-P1P2|SENP6_+_76311992.23-P1P2++SENP6_+_76311650.23-P1P2|SENP6_+_76311992.23-P1P2	SENP6	56	20	252	24	1298	14	34	296	20
TMEM217_-_37225882.23-P1P2|TMEM217_-_37225852.23-P1P2++TMEM217_-_37225882.23-P1P2|TMEM217_-_37225852.23-P1P2	TMEM217	1810	1140	586	1412	2334	1368	1254	880	1030
HOXA7_+_27196242.23-P1P2|HOXA7_+_27196262.23-P1P2++HOXA7_+_27196242.23-P1P2|HOXA7_+_27196262.23-P1P2	HOXA7	1308	1030	436	922	1480	782	850	532	680
LMNB2_-_2456907.23-P1P2|LMNB2_+_2456911.23-P1P2++LMNB2_-_2456907.23-P1P2|LMNB2_+_2456911.23-P1P2	LMNB2	766	534	280	862	1182	422	578	388	564
CYB5RL_-_54665499.23-P1P2|CYB5RL_+_54665647.23-P1P2++CYB5RL_-_54665499.23-P1P2|CYB5RL_+_54665647.23-P1P2	CYB5RL	454	428	510	488	1706	376	566	560	288
B3GAT1_-_134282105.23-P1P2|B3GAT1_-_134282102.23-P1P2++B3GAT1_-_134282105.23-P1P2|B3GAT1_-_134282102.23-P1P2	B3GAT1	2032	1820	1022	2316	4120	1666	1666	1486	1508
FABP2_+_120243232.23-P1P2|FABP2_+_120243274.23-P1P2++FABP2_+_120243232.23-P1P2|FABP2_+_120243274.23-P1P2	FABP2	1056	1064	404	1004	1780	748	1004	660	858
GPAM_+_113943434.23-P1P2|GPAM_+_113943482.23-P1P2++GPAM_+_113943434.23-P1P2|GPAM_+_113943482.23-P1P2	GPAM	1420	832	546	1010	2206	836	862	654	692
SLITRK4_-_142723893.23-P1P2|SLITRK4_-_142723441.23-P1P2++SLITRK4_-_142723893.23-P1P2|SLITRK4_-_142723441.23-P1P2	SLITRK4	1520	1288	680	1420	2652	1076	1124	1028	1066
PDZD8_-_119134955.23-P1P2|PDZD8_-_119134876.23-P1P2++PDZD8_-_119134955.23-P1P2|PDZD8_-_119134876.23-P1P2	PDZD8	970	768	378	982	1484	598	898	538	650
ASB17_+_76398029.23-P1P2|ASB17_+_76398083.23-P1P2++ASB17_+_76398029.23-P1P2|ASB17_+_76398083.23-P1P2	ASB17	630	310	194	424	788	302	354	182	266
DISP1_+_223101802.23-ENST00000284476.6|DISP1_+_223101798.23-ENST00000284476.6++DISP1_+_223101802.23-ENST00000284476.6|DISP1_+_223101798.23-ENST00000284476.6	DISP1	1382	1276	580	1266	2380	1150	1226	788	1112
SUN5_+_31591985.23-P1P2|SUN5_-_31592195.23-P1P2++SUN5_+_31591985.23-P1P2|SUN5_-_31592195.23-P1P2	SUN5	1188	1070	464	1212	1388	716	914	558	750
non-targeting_02142|non-targeting_02703++non-targeting_02142|non-targeting_02703	non-targeting	1090	744	370	930	1184	630	750	440	560
TPO_-_1417246.23-P1P2|TPO_-_1417509.23-P1P2++TPO_-_1417246.23-P1P2|TPO_-_1417509.23-P1P2	TPO	242	278	380	338	1280	224	164	590	156
non-targeting_02068|non-targeting_01588++non-targeting_02068|non-targeting_01588	non-targeting	1102	912	378	938	1788	608	926	530	706
CA7_-_66878344.23-P1P2|CA7_-_66878370.23-P1P2++CA7_-_66878344.23-P1P2|CA7_-_66878370.23-P1P2	CA7	2762	2014	868	2568	3044	1710	1732	1136	1422
COX19_-_1015137.23-P1P2|COX19_-_1014773.23-P1P2++COX19_-_1015137.23-P1P2|COX19_-_1014773.23-P1P2	COX19	160	120	168	170	750	164	152	224	106
non-targeting_02716|non-targeting_00915++non-targeting_02716|non-targeting_00915	non-targeting	348	360	122	408	584	212	172	230	158
SBNO2_+_1174236.23-P1|SBNO2_+_1174233.23-P1++SBNO2_+_1174236.23-P1|SBNO2_+_1174233.23-P1	SBNO2	1422	962	356	1228	1950	854	958	558	794
PLA2G15_+_68279337.23-P1P2|PLA2G15_+_68279317.23-P1P2++PLA2G15_+_68279337.23-P1P2|PLA2G15_+_68279317.23-P1P2	PLA2G15	1158	890	516	884	2420	864	924	606	544
GLIPR1L1_+_75728456.23-P1P2|GLIPR1L1_+_75728818.23-P1P2++GLIPR1L1_+_75728456.23-P1P2|GLIPR1L1_+_75728818.23-P1P2	GLIPR1L1	1480	1324	658	1406	3062	1198	1362	884	952
AP2B1_-_33914780.23-P1P2|AP2B1_-_33914544.23-P1P2++AP2B1_-_33914780.23-P1P2|AP2B1_-_33914544.23-P1P2	AP2B1	366	198	504	290	2084	166	276	594	108
KIT_+_55524176.23-P1P2|KIT_-_55524148.23-P1P2++KIT_+_55524176.23-P1P2|KIT_-_55524148.23-P1P2	KIT	1748	1340	746	1500	3038	1248	1372	930	1028
PLXNA2_+_208417183.23-P1P2|PLXNA2_-_208417275.23-P1P2++PLXNA2_+_208417183.23-P1P2|PLXNA2_-_208417275.23-P1P2	PLXNA2	950	1036	572	916	2688	620	716	880	462
ZNF581_+_56155029.23-P1|ZNF581_+_56155049.23-P1++ZNF581_+_56155029.23-P1|ZNF581_+_56155049.23-P1	ZNF581	1490	1030	406	1116	1740	670	964	692	566
CCBL1_+_131644175.23-P1P2|CCBL1_+_131644186.23-P1P2++CCBL1_+_131644175.23-P1P2|CCBL1_+_131644186.23-P1P2	CCBL1	182	148	358	258	2020	156	166	712	120
IL12RB1_+_18197656.23-P1P2|IL12RB1_-_18197664.23-P1P2++IL12RB1_+_18197656.23-P1P2|IL12RB1_-_18197664.23-P1P2	IL12RB1	1228	656	452	884	1752	670	786	620	774
LYPD1_+_133429074.23-P2|LYPD1_-_133429049.23-P2++LYPD1_+_133429074.23-P2|LYPD1_-_133429049.23-P2	LYPD1	1184	1152	456	1110	1922	930	992	762	764
MYH7_+_23904818.23-P1|MYH7_+_23904873.23-P1++MYH7_+_23904818.23-P1|MYH7_+_23904873.23-P1	MYH7	812	750	370	874	1456	590	864	616	610
WIPI1_-_66453567.23-P1P2|WIPI1_-_66453639.23-P1P2++WIPI1_-_66453567.23-P1P2|WIPI1_-_66453639.23-P1P2	WIPI1	5286	4544	2070	4808	7574	3430	3920	2786	2950
C3orf55_+_157261167.23-P1P2|C3orf55_-_157261207.23-P1P2++C3orf55_+_157261167.23-P1P2|C3orf55_-_157261207.23-P1P2	C3orf55	1106	942	508	1032	1512	816	936	664	574
OLIG2_+_34398282.23-P1P2|OLIG2_+_34398291.23-P1P2++OLIG2_+_34398282.23-P1P2|OLIG2_+_34398291.23-P1P2	OLIG2	844	734	368	826	1678	594	590	672	466
OR52I1_+_4615725.23-ENST00000530443.2|OR52I1_-_4615718.23-ENST00000530443.2++OR52I1_+_4615725.23-ENST00000530443.2|OR52I1_-_4615718.23-ENST00000530443.2	OR52I1	1584	1220	632	1130	2392	1060	1106	802	1034
DDX53_+_23018152.23-P1P2|DDX53_+_23018128.23-P1P2++DDX53_+_23018152.23-P1P2|DDX53_+_23018128.23-P1P2	DDX53	642	732	334	910	1250	546	742	468	514
TRRAP_-_98476562.23-P1P2|TRRAP_-_98476572.23-P1P2++TRRAP_-_98476562.23-P1P2|TRRAP_-_98476572.23-P1P2	TRRAP	252	268	426	222	1796	258	310	586	154
C2CD4D_-_151811235.23-P1P2|C2CD4D_-_151811079.23-P1P2++C2CD4D_-_151811235.23-P1P2|C2CD4D_-_151811079.23-P1P2	C2CD4D	2814	1952	912	2580	3774	1630	1800	1292	1536
RXFP3_+_33936271.23-P1P2|RXFP3_+_33936274.23-P1P2++RXFP3_+_33936271.23-P1P2|RXFP3_+_33936274.23-P1P2	RXFP3	632	486	270	652	1056	406	576	434	406
non-targeting_00792|non-targeting_02296++non-targeting_00792|non-targeting_02296	non-targeting	1962	1668	688	1754	3320	1280	1366	1056	1158
PRPH_+_49688994.23-P1P2|PRPH_+_49688967.23-P1P2++PRPH_+_49688994.23-P1P2|PRPH_+_49688967.23-P1P2	PRPH	1312	790	516	1010	1786	846	1088	620	692
JAM2_+_27012083.23-P1P2|JAM2_+_27012018.23-P1P2++JAM2_+_27012083.23-P1P2|JAM2_+_27012018.23-P1P2	JAM2	1980	1760	674	1654	2756	1100	1434	990	1068
APOA4_+_116693985.23-P1P2|APOA4_+_116693941.23-P1P2++APOA4_+_116693985.23-P1P2|APOA4_+_116693941.23-P1P2	APOA4	474	514	644	716	2466	684	598	924	396
SPINT2_-_38755345.23-P1P2|SPINT2_-_38755256.23-P1P2++SPINT2_-_38755345.23-P1P2|SPINT2_-_38755256.23-P1P2	SPINT2	1400	854	484	1204	1920	730	838	664	598
FRRS1L_+_111929494.23-P1P2|FRRS1L_-_111929233.23-P1P2++FRRS1L_+_111929494.23-P1P2|FRRS1L_-_111929233.23-P1P2	FRRS1L	196	128	508	138	2012	166	102	732	130
PI4K2B_+_25235662.23-P1P2|PI4K2B_+_25235804.23-P1P2++PI4K2B_+_25235662.23-P1P2|PI4K2B_+_25235804.23-P1P2	PI4K2B	1760	1134	640	1792	2312	972	1178	658	938
CDH1_-_68771198.23-P1P2|CDH1_+_68771185.23-P1P2++CDH1_-_68771198.23-P1P2|CDH1_+_68771185.23-P1P2	CDH1	2072	1558	744	1732	3208	1422	1528	1154	984
FDCSP_-_71092178.23-P1P2|FDCSP_+_71091849.23-P1P2++FDCSP_-_71092178.23-P1P2|FDCSP_+_71091849.23-P1P2	FDCSP	1070	810	358	1202	1594	788	936	518	484
IL2_-_123377531.23-P1P2|IL2_+_123377203.23-P1P2++IL2_-_123377531.23-P1P2|IL2_+_123377203.23-P1P2	IL2	392	276	140	366	550	188	242	204	226
GBF1_-_104005325.23-P1P2|GBF1_+_104005322.23-P1P2++GBF1_-_104005325.23-P1P2|GBF1_+_104005322.23-P1P2	GBF1	10	0	236	14	758	14	4	294	12
CLN8_-_1711951.23-P1P2|CLN8_-_1712219.23-P1P2++CLN8_-_1711951.23-P1P2|CLN8_-_1712219.23-P1P2	CLN8	1424	936	524	1456	2126	1188	1152	788	894
ARHGEF2_-_155948223.23-P1P2|ARHGEF2_-_155948140.23-P1P2++ARHGEF2_-_155948223.23-P1P2|ARHGEF2_-_155948140.23-P1P2	ARHGEF2	1228	1182	478	952	1680	934	918	402	706
RASAL1_-_113573480.23-P1P2|RASAL1_-_113573711.23-P1P2++RASAL1_-_113573480.23-P1P2|RASAL1_-_113573711.23-P1P2	RASAL1	1050	904	382	978	1726	664	528	590	482
ANKRD6_-_90142922.23-P1P2|ANKRD6_-_90142974.23-P1P2++ANKRD6_-_90142922.23-P1P2|ANKRD6_-_90142974.23-P1P2	ANKRD6	1160	830	398	1102	1676	870	934	558	760
ONECUT1_+_53082514.23-P1P2|ONECUT1_-_53082519.23-P1P2++ONECUT1_+_53082514.23-P1P2|ONECUT1_-_53082519.23-P1P2	ONECUT1	900	932	400	1022	1488	598	722	498	662
FAM76B_+_95522689.23-P1P2|FAM76B_-_95522890.23-P1P2++FAM76B_+_95522689.23-P1P2|FAM76B_-_95522890.23-P1P2	FAM76B	1090	904	552	986	2038	736	852	658	768
C20orf203_-_31239545.23-P1P2|C20orf203_+_31239518.23-P1P2++C20orf203_-_31239545.23-P1P2|C20orf203_+_31239518.23-P1P2	C20orf203	1188	828	376	922	1372	756	638	578	552
MYL2_-_111358334.23-P1|MYL2_+_111358317.23-P1++MYL2_-_111358334.23-P1|MYL2_+_111358317.23-P1	MYL2	882	872	266	930	1504	510	714	382	446
BAG5_-_104028929.23-P1P2|BAG5_+_104028984.23-P1P2++BAG5_-_104028929.23-P1P2|BAG5_+_104028984.23-P1P2	BAG5	760	608	410	766	1574	470	482	496	670
KLHL20_-_173684184.23-P1P2|KLHL20_-_173684099.23-P1P2++KLHL20_-_173684184.23-P1P2|KLHL20_-_173684099.23-P1P2	KLHL20	1634	1168	528	1600	2488	1284	1294	902	906
DEFB112_-_50016159.23-ENST00000322246.4|DEFB112_+_50016268.23-ENST00000322246.4++DEFB112_-_50016159.23-ENST00000322246.4|DEFB112_+_50016268.23-ENST00000322246.4	DEFB112	966	738	342	836	1610	678	1104	594	694
LSS_-_47648468.23-P1P2|LSS_+_47648683.23-P1P2++LSS_-_47648468.23-P1P2|LSS_+_47648683.23-P1P2	LSS	566	402	458	598	1880	484	488	536	518
LGALS9_+_25958315.23-P1P2|LGALS9_-_25958253.23-P1P2++LGALS9_+_25958315.23-P1P2|LGALS9_-_25958253.23-P1P2	LGALS9	964	1016	324	1000	1606	668	760	512	630
TRIM14_-_100881520.23-P1P2|TRIM14_-_100881441.23-P1P2++TRIM14_-_100881520.23-P1P2|TRIM14_-_100881441.23-P1P2	TRIM14	1512	966	552	1056	1894	784	1176	598	742
TMEM40_-_12800712.23-P1P2|TMEM40_-_12800721.23-P1P2++TMEM40_-_12800712.23-P1P2|TMEM40_-_12800721.23-P1P2	TMEM40	1082	996	398	1146	1596	848	1046	672	728
CD81_+_2411703.23-P2|CD81_+_2411706.23-P2++CD81_+_2411703.23-P2|CD81_+_2411706.23-P2	CD81	1104	954	400	994	1314	638	762	448	610
CEACAM19_+_45175073.23-P1P2|CEACAM19_-_45175092.23-P1P2++CEACAM19_+_45175073.23-P1P2|CEACAM19_-_45175092.23-P1P2	CEACAM19	622	566	184	490	960	406	450	472	316
OSBPL11_-_125314083.23-P1P2|OSBPL11_-_125314347.23-P1P2++OSBPL11_-_125314083.23-P1P2|OSBPL11_-_125314347.23-P1P2	OSBPL11	1026	590	270	768	1012	586	522	448	470
DUOX2_+_45406317.23-P1P2|DUOX2_-_45406345.23-P1P2++DUOX2_+_45406317.23-P1P2|DUOX2_-_45406345.23-P1P2	DUOX2	1178	858	430	908	1886	688	684	644	704
KIAA1143_+_44803075.23-P1P2|KIAA1143_+_44803082.23-P1P2++KIAA1143_+_44803075.23-P1P2|KIAA1143_+_44803082.23-P1P2	KIAA1143	2298	1576	738	1872	3288	1590	1366	1148	1322
OR13F1_-_107266524.23-ENST00000334726.2|OR13F1_+_107266728.23-ENST00000334726.2++OR13F1_-_107266524.23-ENST00000334726.2|OR13F1_+_107266728.23-ENST00000334726.2	OR13F1	578	346	202	624	876	366	514	352	312
C10orf128_+_50396368.23-P1P2|C10orf128_-_50396345.23-P1P2++C10orf128_+_50396368.23-P1P2|C10orf128_-_50396345.23-P1P2	C10orf128	1244	902	506	1254	1860	802	992	524	710
RAX2_+_3772201.23-P1P2|RAX2_+_3772177.23-P1P2++RAX2_+_3772201.23-P1P2|RAX2_+_3772177.23-P1P2	RAX2	1588	1664	610	1502	2576	1274	1364	896	1084
RRP12_+_99161057.23-P1P2|RRP12_-_99161036.23-P1P2++RRP12_+_99161057.23-P1P2|RRP12_-_99161036.23-P1P2	RRP12	4	4	126	16	714	18	16	246	4
MAGOHB_+_10765970.23-P1P2|MAGOHB_+_10766121.23-P1P2++MAGOHB_+_10765970.23-P1P2|MAGOHB_+_10766121.23-P1P2	MAGOHB	26	28	126	14	586	32	22	282	20
PAMR1_+_35547150.23-P1P2|PAMR1_+_35547129.23-P1P2++PAMR1_+_35547150.23-P1P2|PAMR1_+_35547129.23-P1P2	PAMR1	1480	1426	644	1636	2704	1116	1106	884	928
ARHGAP35_-_47421941.23-ENST00000404338.3|ARHGAP35_-_47422000.23-ENST00000404338.3++ARHGAP35_-_47421941.23-ENST00000404338.3|ARHGAP35_-_47422000.23-ENST00000404338.3	ARHGAP35	1692	1082	498	1202	2176	856	898	636	908
NXPE1_+_114430560.23-P1P2|NXPE1_-_114430548.23-P1P2++NXPE1_+_114430560.23-P1P2|NXPE1_-_114430548.23-P1P2	NXPE1	1250	1052	422	1260	1982	832	962	658	700
TMEM246_-_104249473.23-P1P2|TMEM246_+_104249413.23-P1P2++TMEM246_-_104249473.23-P1P2|TMEM246_+_104249413.23-P1P2	TMEM246	1690	1592	672	1930	2974	1132	1378	1114	1206
SLC7A8_+_23652805.23-P1P2|SLC7A8_+_23652834.23-P1P2++SLC7A8_+_23652805.23-P1P2|SLC7A8_+_23652834.23-P1P2	SLC7A8	1280	862	448	1148	1616	800	948	628	664
TOR1AIP1_-_179851969.23-P1P2|TOR1AIP1_-_179851963.23-P1P2++TOR1AIP1_-_179851969.23-P1P2|TOR1AIP1_-_179851963.23-P1P2	TOR1AIP1	420	256	150	330	730	302	232	222	210
NOS2_-_26127519.23-P1P2|NOS2_-_26127474.23-P1P2++NOS2_-_26127519.23-P1P2|NOS2_-_26127474.23-P1P2	NOS2	1026	1014	406	932	1620	576	934	568	548
FOXF2_-_1389833.23-P1P2|FOXF2_-_1390195.23-P1P2++FOXF2_-_1389833.23-P1P2|FOXF2_-_1390195.23-P1P2	FOXF2	742	558	316	746	1040	518	476	486	318
LYPD5_+_44324738.23-P1|LYPD5_+_44324680.23-P1++LYPD5_+_44324738.23-P1|LYPD5_+_44324680.23-P1	LYPD5	2040	1656	716	1664	2778	1212	1498	1160	1088
MEF2C_-_88178969.23-P1P2|MEF2C_-_88178777.23-P1P2++MEF2C_-_88178969.23-P1P2|MEF2C_-_88178777.23-P1P2	MEF2C	792	874	414	750	1738	610	816	508	494
LY6G6F_-_31674901.23-P1P2|LY6G6F_+_31674703.23-P1P2++LY6G6F_-_31674901.23-P1P2|LY6G6F_+_31674703.23-P1P2	LY6G6F	8	4	8	18	12	26	0	0	14
ZFP91_-_58346579.23-P1P2|ZFP91_-_58346669.23-P1P2++ZFP91_-_58346579.23-P1P2|ZFP91_-_58346669.23-P1P2	ZFP91	2182	1814	742	2326	2756	1568	1476	1036	1242
PHTF1_+_114301610.23-P1P2|PHTF1_+_114302102.23-P1P2++PHTF1_+_114301610.23-P1P2|PHTF1_+_114302102.23-P1P2	PHTF1	424	342	494	398	2028	192	354	722	216
C7orf73_-_135347273.23-P1P2|C7orf73_-_135347263.23-P1P2++C7orf73_-_135347273.23-P1P2|C7orf73_-_135347263.23-P1P2	C7orf73	1382	1126	430	1220	1710	914	1010	808	706
FBP2_+_97356076.23-P1P2|FBP2_-_97356086.23-P1P2++FBP2_+_97356076.23-P1P2|FBP2_-_97356086.23-P1P2	FBP2	1256	1000	426	1140	2108	796	984	666	632
OR1S1_-_57982265.23-ENST00000309433.6|OR1S1_+_57982296.23-ENST00000309433.6++OR1S1_-_57982265.23-ENST00000309433.6|OR1S1_+_57982296.23-ENST00000309433.6	OR1S1	658	422	218	508	1066	470	458	320	282
SERTAD1_-_40931839.23-P1P2|SERTAD1_-_40931866.23-P1P2++SERTAD1_-_40931839.23-P1P2|SERTAD1_-_40931866.23-P1P2	SERTAD1	1336	1054	326	1000	1856	824	922	468	600
STARD3NL_+_38218014.23-P1P2|STARD3NL_-_38218173.23-P1P2++STARD3NL_+_38218014.23-P1P2|STARD3NL_-_38218173.23-P1P2	STARD3NL	1406	926	368	1108	1680	802	874	682	772
DPH5_+_101491288.23-P1P2|DPH5_-_101491365.23-P1P2++DPH5_+_101491288.23-P1P2|DPH5_-_101491365.23-P1P2	DPH5	278	246	402	218	1636	324	232	550	196
SLC19A3_+_228582681.23-P1P2|SLC19A3_-_228582668.23-P1P2++SLC19A3_+_228582681.23-P1P2|SLC19A3_-_228582668.23-P1P2	SLC19A3	876	588	298	736	1106	550	654	364	630
FAM20C_+_192647.23-P1P2|FAM20C_-_192603.23-P1P2++FAM20C_+_192647.23-P1P2|FAM20C_-_192603.23-P1P2	FAM20C	1818	1314	516	1604	2432	1312	1272	702	1094
