,target,rho_score,rho_pvalue,rho_label,-log10(rho_pvalue),gamma_score,gamma_pvalue,gamma_label,-log10(gamma_pvalue)
MTRNR2L4,MTRNR2L4,-0.3579551092970095,0.033947036027891134,sensitivity_hit,1.4691981387008624,0.3272832723421925,0.038441219899102576,up_hit,1.41520283882237
MYBL1,MYBL1,-1.0024826667280156,0.009788849412447459,sensitivity_hit,2.0092683524451798,-0.33882481215237537,0.12274958595711985,essential_hit,0.9109799641079788
MYL10,MYL10,-0.36850078090232125,0.11483498970693469,sensitivity_hit,0.9399257641910217,0.26871601055137884,0.0573147051362275,up_hit,1.241733937540804
MYO10,MYO10,-0.19408383697302897,0.02764677754111207,sensitivity_hit,1.558355481996585,0.10773353090025643,0.19761526536554894,target_non_hit,0.7041795101130075
MYO19,MYO19,-0.23268797503103755,0.014569288298299244,sensitivity_hit,1.8365616627578525,-0.12961359291598148,0.49829189921102707,target_non_hit,0.3025161731471192
MYRFL,MYRFL,-0.38108150477639463,0.11013716487497018,sensitivity_hit,0.9580661072173972,0.3078565359619443,0.3060089709103088,target_non_hit,0.5142658416238556
NAB1,NAB1,0.24472618232636675,0.019937046065897076,resistance_hit,1.7003391876649667,-0.23106678251391996,0.1923113123019463,target_non_hit,0.7159951685653916
NANOGNB,NANOGNB,0.3099711675099173,0.02291545234336696,resistance_hit,1.6398715655067244,0.09682714283809653,0.26021095263870264,target_non_hit,0.5846744273346093
NAP1L4,NAP1L4,0.23782180236001368,0.014989068739118478,resistance_hit,1.824225348741156,-0.2988118726899532,0.0030377336412832343,essential_hit,2.5174503092066995
NCCRP1,NCCRP1,-0.24195862272377747,0.042373869509219245,sensitivity_hit,1.3729018751595303,0.10991667730453791,0.2779277848471263,target_non_hit,0.5560680339977296
NCOA3,NCOA3,0.3368461557363294,0.025537155452010105,resistance_hit,1.5928274798328272,-0.21995981840525225,0.10831405850404079,target_non_hit,0.9653151709417963
NCOR2,NCOR2,-0.20486770855481526,0.005439579016578868,sensitivity_hit,2.264434710200987,0.07053286648492207,0.4098678326290923,target_non_hit,0.3873561647766221
NDNF,NDNF,-0.27249396705362905,0.08570599881200348,sensitivity_hit,1.0669887794796675,0.21692948200309173,0.09087041937751283,target_non_hit,1.0415774676235094
NDRG4,NDRG4,-0.3001747894974063,0.02181247729450864,sensitivity_hit,1.6612950077712314,0.05908079177862735,0.4440216099094223,target_non_hit,0.3525958928672859
NDUFAF2,NDUFAF2,-0.2405224427616206,0.07644424055021376,sensitivity_hit,1.1166552295647385,0.35136465691561014,0.04927125424787369,up_hit,1.3074063821943962
NDUFB2,NDUFB2,-0.12982467093630165,0.0022435438638170766,sensitivity_hit,2.649065435100157,-0.014517561707465987,0.8345686715732241,target_non_hit,0.07853792206648826
NEDD1,NEDD1,-0.48922039978006077,0.05002743115843933,sensitivity_hit,1.3007917969838174,-0.15777239644356764,0.2667098271684782,target_non_hit,0.5739609820363527
NEDD9,NEDD9,0.24881288004218907,0.07118522591842383,resistance_hit,1.1476101323166668,-0.20248600190805335,0.009951591688389933,essential_hit,2.0021074512944295
NEFH,NEFH,-0.3075200333540448,0.11693984550962139,sensitivity_hit,0.9320374842490621,0.06391400740418647,0.30402713038729995,target_non_hit,0.5170876596420315
NELFE,NELFE,-0.2191242874633105,0.040695718481734214,sensitivity_hit,1.390451279658505,0.14604001422545596,0.384489644824711,target_non_hit,0.41511535223718327
NES,NES,0.1557199484294355,0.009959523984768065,resistance_hit,2.0017614181755783,0.02519373769758933,0.21090072352992917,target_non_hit,0.6759219303386704
NEU3,NEU3,-0.28150769572749734,0.0523462121174433,sensitivity_hit,1.2811147393148603,0.14520710382666793,0.1101933003589866,target_non_hit,0.9578448093460482
NEUROG3,NEUROG3,-0.31640495473502117,0.019996748273735113,sensitivity_hit,1.6990406204154533,0.23525516641920743,0.27122833211779823,target_non_hit,0.5666649466643259
NF2,NF2,-0.2561249602087055,0.013520503060517932,sensitivity_hit,1.8690071491974525,0.1207750956007585,0.23452183550924366,target_non_hit,0.6298167154235507
NFATC1,NFATC1,0.16133084904047035,0.011819914932754694,resistance_hit,1.9273856490358268,0.025128555851830825,0.44325045538873964,target_non_hit,0.353350809539306
NFATC4,NFATC4,-0.16237752392628924,0.019727872534401326,sensitivity_hit,1.7049197467998933,0.22320590359371315,0.0224449702022775,up_hit,1.648880966827044
NFE2L1,NFE2L1,-0.25116924283697156,0.023840750097803256,sensitivity_hit,1.6226800845772682,-0.023744647658360485,0.8293472501647494,target_non_hit,0.08126359097695203
NFE2L2,NFE2L2,0.4059217454596696,0.007083993697923371,resistance_hit,2.149721833839716,-0.05061628232717741,0.7948508562628002,target_non_hit,0.09971435358069827
NFE4,NFE4,0.3251427927482749,0.1408050146733024,resistance_hit,0.8513818778205963,-0.356222952678061,0.07751458226561082,essential_hit,1.1106165890838802
NFYC,NFYC,0.27444689625257723,0.07873612440618583,resistance_hit,1.1038259661070207,-0.08310819067735764,0.41433221260336967,target_non_hit,0.3826513008024679
NHLH2,NHLH2,-0.2205276744373371,0.03301170879819266,sensitivity_hit,1.4813319945300927,0.127807281029237,0.40338820483417576,target_non_hit,0.3942768048102205
NHSL2,NHSL2,-0.5065851385000034,0.04951445518185373,sensitivity_hit,1.305267995222839,0.3447855406704603,0.10668520163816245,up_hit,0.9718958176196009
NIPSNAP3B,NIPSNAP3B,-0.2842734273483452,0.053363493170486165,sensitivity_hit,1.272755749274942,-0.05138538799041529,0.4880906498654112,target_non_hit,0.3114995118492181
NKX6-2,NKX6-2,-0.23797537682099593,0.01352699467305008,sensitivity_hit,1.8687986809995236,0.10067570706847857,0.20785771114866003,target_non_hit,0.6822338593117614
NMNAT3,NMNAT3,-0.23143263799852054,0.03309217652637047,sensitivity_hit,1.4802746676450336,0.07885154399209575,0.36926047712486915,target_non_hit,0.4326671734893647
NNMT,NNMT,0.39727724216463933,0.11724348737885992,resistance_hit,0.9309112720583207,-0.33548157153233316,0.13152294253895092,essential_hit,0.8809984833036171
NNT,NNT,-0.14295902997303736,0.0012501310361014094,sensitivity_hit,2.9030444627734107,0.06982349653357289,0.4289710920167991,target_non_hit,0.3675719735509367
NOB1,NOB1,0.16119104691989397,0.020435105058315445,resistance_hit,1.6896231252081062,-0.046159171311385215,0.5543400689638966,target_non_hit,0.2562237284777491
NOD2,NOD2,-0.19166935315356337,0.010655478168282337,sensitivity_hit,1.9724270563968151,0.10554022563903172,0.30943899714033984,target_non_hit,0.5094249550981339
NOL11,NOL11,0.20061514665440683,0.022215854575653376,resistance_hit,1.6533369761277117,-0.015442592120181509,0.8833124622416204,target_non_hit,0.05388564226253019
NOLC1,NOLC1,0.29613817672735926,0.030149979584588475,resistance_hit,1.5207129775969168,-0.032310507402936096,0.8011185140465635,target_non_hit,0.0963032314948669
NOS2,NOS2,-0.1630037605006732,0.008931898678246512,sensitivity_hit,2.049056212126352,0.07254981865757,0.220652966055434,target_non_hit,0.6562902303158131
NOVA1,NOVA1,0.25687506150543654,0.08814521149303968,resistance_hit,1.0548012758619518,-0.2146181284276348,0.12369867800119702,target_non_hit,0.9076349417601532
NPHS2,NPHS2,0.3497078547676494,0.06881011520288778,resistance_hit,1.1623477150509105,-0.17481972403983015,0.3213424723216691,target_non_hit,0.4930318692947431
NPY,NPY,-0.2150584419399785,0.003960783979683713,sensitivity_hit,2.4022188432785296,0.02541912837478577,0.5752925348750405,target_non_hit,0.24011126144053827
NR0B1,NR0B1,-0.35525719887411267,0.0872855240496186,sensitivity_hit,1.0590577763020406,0.0014226489518597656,0.9090257156212296,target_non_hit,0.041423830755559374
NR2E3,NR2E3,-0.33665031424117764,0.012499385302019382,sensitivity_hit,1.9031113443123615,0.12316602298696082,0.2086556863568951,target_non_hit,0.6805697752476435
NR3C1,NR3C1,0.1961991859467679,0.005594721341733926,resistance_hit,2.252221539655931,-0.07638254852556574,0.8645117053188323,target_non_hit,0.06322912208819347
NRARP,NRARP,-0.2957369596908442,0.04415546430505751,sensitivity_hit,1.3550155441659273,0.2317824967190155,0.11254975266899608,target_non_hit,0.9486554550358133
NRF1,NRF1,-0.2531482343870796,0.05909791313329546,sensitivity_hit,1.2284278546635157,-0.026410581603648176,0.960984422188766,target_non_hit,0.017283652302623083
NRIP2,NRIP2,-0.28074929286351996,0.10988583549722805,sensitivity_hit,0.9590582853913432,0.10858316331018407,0.488751963350478,target_non_hit,0.31091148500156834
NRN1,NRN1,-0.2323925077536959,0.003558305532363312,sensitivity_hit,2.4487567641434547,-0.044460098756287834,0.4593302403242132,target_non_hit,0.337874961563112
NTRK1,NTRK1,0.2670517592764397,0.021167537117973596,resistance_hit,1.6743296700059604,-0.14595746322659173,0.08157983733334041,target_non_hit,1.0884171649824335
NTS,NTS,-0.2348288605556957,0.02933734705239941,sensitivity_hit,1.532579161542379,0.008292112620205868,0.7012095314381861,target_non_hit,0.1541521892370059
NUCB1,NUCB1,-0.18850370669543537,0.009522755610851315,sensitivity_hit,2.021237361130408,0.33532460137421644,0.1622696598968974,up_hit,0.7897626740808043
NUMA1,NUMA1,-0.2545133646367539,0.07322336224364198,sensitivity_hit,1.135350333221007,-0.05323885923875634,0.8508301768370432,target_non_hit,0.07015711514754765
NUP43,NUP43,0.3404400965567387,0.006461236034802741,resistance_hit,2.1896843934993795,-0.1915232131273168,0.24676726542259228,target_non_hit,0.6077124515643455
NUP62CL,NUP62CL,-0.37403745747961753,0.10502899010645293,sensitivity_hit,0.9786908104012747,-0.08571063611175174,0.5559994037149532,target_non_hit,0.2549256741795331
NVL,NVL,0.25243151923622104,0.06574323942496584,resistance_hit,1.1821489003498342,-0.02331980510998714,0.7317035006663857,target_non_hit,0.1356648671800039
NXF5,NXF5,0.24710841879330273,0.06529419481667945,resistance_hit,1.1851254293092288,-0.13729052963532803,0.22651774722151316,target_non_hit,0.6448977661967129
OBP2A,OBP2A,-0.3330034591812708,0.04707981605966846,sensitivity_hit,1.3271652426091263,0.19915428041405056,0.010674376386065219,up_hit,1.9716574877316766
OGFR,OGFR,0.28721269629018575,0.007991191284439807,resistance_hit,2.0973884735404003,-0.2527697406314348,0.021820352698612818,essential_hit,1.6611382338657625
OIT3,OIT3,-0.2850802679330397,0.051558192498995445,sensitivity_hit,1.287702316327789,0.16911821114067985,0.14707314631346657,target_non_hit,0.8324666166845646
OLFM1,OLFM1,-0.2974100915453217,0.05930015769076767,sensitivity_hit,1.2269441517598658,0.07848735916060641,0.29954856870285496,target_non_hit,0.5235327512061053
OLIG1,OLIG1,-0.31611784870981285,0.06309572099633531,sensitivity_hit,1.2000000925893455,0.09456263277784267,0.21412463850838098,target_non_hit,0.669333357214748
OPTC,OPTC,0.20358729515831767,0.03911338082239933,resistance_hit,1.407674643545329,0.05057477593030324,0.1618085033964738,target_non_hit,0.7909986589837762
OR10AG1,OR10AG1,0.2646331555776132,0.0886112626611311,resistance_hit,1.052511074944551,0.03695206114652283,0.983958595082947,target_non_hit,0.00702317626920081
OR10G3,OR10G3,-0.16247013919816933,0.006889504699464663,sensitivity_hit,2.161811999285612,0.09437385668789429,0.19865785259946112,target_non_hit,0.7018942633636586
OR10H4,OR10H4,0.24327014767728658,0.06896425019822765,resistance_hit,1.1613759812210824,-0.16762127916498848,0.2418595399465873,target_non_hit,0.6164367775562869
OR12D3,OR12D3,-0.26502857327874246,0.02910562714482672,sensitivity_hit,1.5360230384473632,0.19176004027449908,0.002059437312571385,up_hit,2.6862514230417114
OR13C5,OR13C5,0.27512336935718046,0.10106571679978259,resistance_hit,0.995396139460354,-0.015428997594072827,0.9137088165505871,target_non_hit,0.03919218447774972
OR2AG2,OR2AG2,0.15885339649365657,0.01343550890042945,resistance_hit,1.8717458790289059,-0.21250040621467528,0.05876319855617242,essential_hit,1.2308945730334253
OR4A15,OR4A15,-0.23641112782215115,0.07262613385000398,sensitivity_hit,1.1389070742786371,0.031023001779979964,0.19904909277622576,target_non_hit,0.7010397974980038
OR4M1,OR4M1,0.21681360223554247,0.05489022282037234,resistance_hit,1.2605050062476846,0.022509389358710052,0.6197611178507325,target_non_hit,0.20777567371235534
OR4N5,OR4N5,-0.16098380055968922,0.002443833967721825,sensitivity_hit,2.611928303074172,0.04608787682150132,0.4213656035021522,target_non_hit,0.3753409191762006
OR51G2,OR51G2,0.17095412660132414,0.022793410427392895,resistance_hit,1.6421906893441394,-0.147425870120984,0.3201627830170349,target_non_hit,0.49462915358390025
OR51T1,OR51T1,-0.1837169837965842,0.012364008691229559,sensitivity_hit,1.907840698323088,0.037610525435420726,0.6942998035224701,target_non_hit,0.15845295764294132
OR52E4,OR52E4,-0.3162526238617902,0.10544891426651748,sensitivity_hit,0.976957887527034,0.020772636194315908,0.5004669831170768,target_non_hit,0.3006245685803504
OR52E8,OR52E8,-0.18743912179964747,0.008673601947652694,sensitivity_hit,2.0618005125428756,0.26062036731139315,0.06652759648376494,up_hit,1.1769981665087637
OR5L2,OR5L2,-0.3151989575177838,0.07297621020436985,sensitivity_hit,1.136818694137526,0.07333953362263894,0.15441992080435257,target_non_hit,0.8112966746133515
OR8B3,OR8B3,0.16559985054446388,0.021518338362620206,resistance_hit,1.667191267755027,-0.02933461128394299,0.7942074484738504,target_non_hit,0.10006604422262332
OR8J3,OR8J3,0.22287110956570158,0.04565181026860923,resistance_hit,1.3405419963535632,-0.23061208975409228,0.21535464942105928,target_non_hit,0.6668457475553728
OTUD4,OTUD4,-0.17114579356788204,0.0055867666647864975,sensitivity_hit,2.2528394668735596,0.03830262184761324,0.36061654713848357,target_non_hit,0.4429543492551662
OVCH2,OVCH2,0.25650831722064077,0.016796279452202443,resistance_hit,1.774786908293454,-0.14081704729193265,0.2081770021477859,target_non_hit,0.6815672498109927
P2RX2,P2RX2,0.18564916069024365,0.02845134291015457,resistance_hit,1.5458972299822464,-0.23197832207409044,0.06898303450485063,essential_hit,1.161257705304587
P2RX7,P2RX7,-0.24260334379661122,0.05061156559340846,sensitivity_hit,1.2957502282303983,0.23886535447161647,0.02927332638243056,up_hit,1.5335279250737852
P2RY2,P2RY2,-0.3042734589295435,0.030462012104858962,sensitivity_hit,1.5162414136337063,0.10206924966929314,0.07041705637615149,target_non_hit,1.15232213357305
PA2G4,PA2G4,-0.3578179992191526,0.1613149539115375,sensitivity_hit,0.7923253716052202,-0.5352735816751979,0.13008606391649158,essential_hit,0.8857692267923685
PABPC4,PABPC4,-0.229768738687213,0.056908742390305134,sensitivity_hit,1.2448210116326814,0.07236028864286521,0.30446475314531635,target_non_hit,0.5164629769244029
PADI3,PADI3,0.15766469967860353,0.01601451743595337,resistance_hit,1.7954861433604552,-0.15596393412588552,0.1322034688282332,target_non_hit,0.8787571494404234
PAK1,PAK1,-0.2693622051184503,0.0762068913984979,sensitivity_hit,1.1180057535814998,-0.03643811307359712,0.7583067489434984,target_non_hit,0.12015507876765495
PANK3,PANK3,0.30898114890653056,0.06408731629622803,resistance_hit,1.1932279144378142,-0.18386919722799325,0.5715152534994188,target_non_hit,0.242972173978719
PANK4,PANK4,-0.315855349928186,0.05749996023391584,sensitivity_hit,1.2403324556616198,-0.10002143137486996,0.5022386574284562,target_non_hit,0.2990898625873913
PARP10,PARP10,0.2591192692068936,0.017553476798519044,resistance_hit,1.7556368504309718,-0.12278311354887261,0.3104888734302027,target_non_hit,0.5079539584324803
